name,ticker,market,sector
Mouwasat Medical Services Co.,4002,TADAWUL,Health services
United Electronics Co.,4003,TADAWUL,Finance
Dallah Healthcare Co.,4004,TADAWUL,Health services
National Medical Care Co.,4005,TADAWUL,Health services
Saudi Marketing Co.,4006,TADAWUL,Retail trade
Al Hammadi Holding,4007,TADAWUL,Health services
Saudi Co. for Hardware,4008,TADAWUL,Retail trade
Middle East Healthcare Company,4009,TADAWUL,Health services
Lazurde Company for Jewelry,4011,TADAWUL,Consumer durables
Thob Al-Aseel Co.,4012,TADAWUL,Distribution services
Dr. Sulaiman Al-Habib Medical Services Group Co.,4013,TADAWUL,Health services
Scientific and Medical Equipment House,4014,TADAWUL,Consumer services
Jamjoom Pharmaceuticals Factory Co.,4015,TADAWUL,Health technology
Middle East Pharmaceutical Industries Company,4016,TADAWUL,Health technology
Dr. Soliman Abdul Kader Fakeeh Hospital Co.,4017,TADAWUL,Health services
Almoosa Health Co.,4018,TADAWUL,Health services
Specialized Medical Company,4019,TADAWUL,Health services
Saudi Real Estate Co.,4020,TADAWUL,Consumer durables
National Shipping Co. of Saudi Arabia,4030,TADAWUL,Transportation
Saudi Ground Services Co.,4031,TADAWUL,Transportation
Saudi Public Transport Co.,4040,TADAWUL,Transportation
Saudi Automotive Services Co.,4050,TADAWUL,Retail trade
Baazeem Trading Co.,4051,TADAWUL,Distribution services
Anaam International Holding Group,4061,TADAWUL,Distribution services
Tihama Advertising & Public Relations Co.,4070,TADAWUL,Commercial services
Arabian Contracting Services Co.,4071,TADAWUL,Commercial services
MBC Group Company,4072,TADAWUL,Consumer services
Sinad Holding Company,4080,TADAWUL,Finance
Nayifat Finance Company,4081,TADAWUL,Finance
Morabaha Marina Financing Company,4082,TADAWUL,Finance
United International Holding Co.,4083,TADAWUL,Finance
Derayah Financial Company,4084,TADAWUL,Finance
Taiba Investment Company,4090,TADAWUL,Consumer durables
Makkah Construction & Development Co.,4100,TADAWUL,Finance
Batic Investments and Logistics Co.,4110,TADAWUL,Transportation
Saudi Darb Investment Co.,4130,TADAWUL,Finance
Saudi Industrial Export Co.,4140,TADAWUL,Distribution services
Al-Omran Industrial & Trading Co.,4141,TADAWUL,Producer manufacturing
Riyadh Cables Group Co.,4142,TADAWUL,Producer manufacturing
Al Taiseer Group Talco Industrial Co.,4143,TADAWUL,Non-energy minerals
Raoom trading Company,4144,TADAWUL,Process industries
Obeikan Glass Co,4145,TADAWUL,Process industries
Arriyadh Development Co.,4150,TADAWUL,Finance
THIMAR Development Holding Co.,4160,TADAWUL,Distribution services
BinDawood Holding Company,4161,TADAWUL,Retail trade
Almunajem Foods Company,4162,TADAWUL,Distribution services
Al Dawaa Medical Services Co.,4163,TADAWUL,Distribution services
Nahdi Medical Company,4164,TADAWUL,Distribution services
Al Majed for Oud Company,4165,TADAWUL,Retail trade
Tourism Enterprise Co.,4170,TADAWUL,Consumer services
Fitaihi Holding Group,4180,TADAWUL,Distribution services
Jarir Marketing Co.,4190,TADAWUL,Retail trade
Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191,TADAWUL,Retail trade
Al-Saif Stores for Development & Investment Co.,4192,TADAWUL,Retail trade
Nice One Beauty Digital Marketing Co.,4193,TADAWUL,Retail trade
Marketing Home Group for Trading Co.,4194,TADAWUL,Retail trade
Aldrees Petroleum & Transport Services Co.,4200,TADAWUL,Distribution services
Saudi Research and Media Group,4210,TADAWUL,Commercial services
"Emaar, The Economic City",4220,TADAWUL,Finance
Red Sea International Co.,4230,TADAWUL,Producer manufacturing
Fawaz Abdulaziz AlHokair Co.,4240,TADAWUL,Retail trade
Jabal Omar Development Co.,4250,TADAWUL,Consumer services
United International Transportation Co. Ltd.,4260,TADAWUL,Finance
Theeb Rent a Car Company,4261,TADAWUL,Finance
Lumi Rental Company,4262,TADAWUL,Finance
SAL Saudi Logistics Services Company,4263,TADAWUL,Transportation
Flynas Co.,4264,TADAWUL,Transportation
Saudi Printing & Packaging Co.,4270,TADAWUL,Commercial services
Kingdom Holding Co.,4280,TADAWUL,Finance
Al Khaleej Training & Education Co.,4290,TADAWUL,Consumer services
National Co. for Learning & Education,4291,TADAWUL,Consumer services
Ataa Educational Company,4292,TADAWUL,Consumer services
Dar Al Arkan Real Estate Development Co.,4300,TADAWUL,Finance
Knowledge Economic City,4310,TADAWUL,Finance
Alandalus Property Co.,4320,TADAWUL,Finance
Arabian Centres Co.,4321,TADAWUL,Finance
Retal Urban Development Company,4322,TADAWUL,Finance
Sumou Real Estate Co.,4323,TADAWUL,Finance
Banan Real Estate Company,4324,TADAWUL,Finance
Umm Al Qura for Development and Construction Company,4325,TADAWUL,Finance
Dar Al Majed Real Estate Co.,4326,TADAWUL,Consumer durables
Saudi Electricity Co.,5110,TADAWUL,Utilities
Halwani Brothers Company,6001,TADAWUL,Consumer non-durables
Herfy Food Services Co.,6002,TADAWUL,Consumer services
CATRION Catering Holding Company,6004,TADAWUL,Transportation
National Agricultural Development Co.,6010,TADAWUL,Consumer non-durables
Raydan Food Co.,6012,TADAWUL,Consumer services
Development Works Food Co.,6013,TADAWUL,Consumer services
AlAmar Foods Co.,6014,TADAWUL,Consumer services
Shatirah House Restaurant Burgerizzr Co.,6016,TADAWUL,Consumer services
Jahez International Company for Information Systems Technology,6017,TADAWUL,Technology services
Sport Clubs Co.,6018,TADAWUL,Consumer services
Al Gassim Investment Holding Co.,6020,TADAWUL,Process industries
Tabuk Agricultural Development Co.,6040,TADAWUL,Consumer non-durables
Saudi Fisheries Co.,6050,TADAWUL,Consumer non-durables
Ash-Sharqiyah Development Co.,6060,TADAWUL,Process industries
Al-Jouf Agriculture Development Co.,6070,TADAWUL,Process industries
Jazan Development and Investment Company,6090,TADAWUL,Process industries
Saudi Telecom Co.,7010,TADAWUL,Communications
Etihad Etisalat Co.,7020,TADAWUL,Communications
Mobile Telecommunications Company Saudi Arabia,7030,TADAWUL,Communications
Etihad Atheeb Telecommunication Co.,7040,TADAWUL,Communications
Al Moammar Information Systems Company,7200,TADAWUL,Technology services
Arab Sea Information Systems Co.,7201,TADAWUL,Distribution services
Arabian Internet and Communications Services Company,7202,TADAWUL,Technology services
Elm Company,7203,TADAWUL,Technology services
Perfect Presentation for Commercial Services Co.,7204,TADAWUL,Technology services
Saudi Azm for Communication and Information Technology Co.,7211,TADAWUL,Technology services
Company for Cooperative Insurance,8010,TADAWUL,Finance
AlJazira Takaful Taawuni Co.,8012,TADAWUL,Finance
Malath Cooperative Insurance Co.,8020,TADAWUL,Finance
Mediterranean & Gulf Cooperative Insurance & Reinsurance Co.,8030,TADAWUL,Finance
Mutakamela Insurance Company,8040,TADAWUL,Finance
SALAMA Cooperative Insurance Co.,8050,TADAWUL,Finance
Walaa Cooperative Insurance Co.,8060,TADAWUL,Finance
Arabian Shield Cooperative Insurance Co.,8070,TADAWUL,Finance
Saudi Arabian Cooperative Insurance Co.,8100,TADAWUL,Finance
Gulf Union Alahlia Cooperative Insurance Co.,8120,TADAWUL,Finance
Allied Cooperative Insurance Group,8150,TADAWUL,Finance
Arabia Insurance Cooperative Co.,8160,TADAWUL,Finance
Al-Etihad Cooperative Insurance Co.,8170,TADAWUL,Finance
Al Sagr Cooperative Insurance Co.,8180,TADAWUL,Finance
United Cooperative Assurance Co.,8190,TADAWUL,Finance
Saudi Reinsurance Company,8200,TADAWUL,Finance
Bupa Arabia for Cooperative Insurance Co.,8210,TADAWUL,Finance
Al Rajhi Co. for Cooperative Insurance,8230,TADAWUL,Finance
Chubb Arabia Cooperative Insurance Company,8240,TADAWUL,Finance
Gulf Insurance Group - GIG,8250,TADAWUL,Finance
Gulf General Cooperative Insurance Co.,8260,TADAWUL,Finance
Buruj Cooperative Insurance Co.,8270,TADAWUL,Finance
LIVA Insurance Company,8280,TADAWUL,Finance
Wataniya Insurance Co.,8300,TADAWUL,Finance
Amana Cooperative Insurance Co.,8310,TADAWUL,Finance
Saudi Enaya Cooperative Insurance Company,8311,TADAWUL,Health services
Rasan Information Technology Co.,8313,TADAWUL,Technology services
National Building & Marketing Co.,9510,TADAWUL,Distribution services
Watani Iron Steel Co,9513,TADAWUL,Non-energy minerals
Mohammed Hassan Al Naqool Sons Co. Ltd,9514,TADAWUL,Non-energy minerals
Fesh Fash Snack Food Production Co.,9515,TADAWUL,Consumer non-durables
Natural Gas Distribution Company,9516,TADAWUL,Utilities
MOBI Industry Company,9517,TADAWUL,Consumer non-durables
Canadian Medical Center Co.,9518,TADAWUL,Health services
Enma AlRawabi Co.,9521,TADAWUL,Finance
